,OPEN,HIGH,LOW,CLOSE,symbol
2022/3/16,3406.7964,3511.2571,3288.3213,3481.9561,CI005140.WI
2022/3/16,807.1818,837.0811,786.689,832.7484,CI005840.WI
2022/3/16,1916.3696,1976.1563,1892.5363,1968.3088,CI005170.WI
2022/3/16,4822.6831,4964.7363,4681.271,4929.0576,CI005168.WI
2022/3/16,1241.3824,1265.0493,1196.7657,1260.2958,CI005135.WI
2022/3/16,992.004,1023.0602,971.2816,1015.5677,CI005827.WI
2022/3/16,903.2186,911.7211,865.3673,909.4908,CI005826.WI
2022/3/16,809.8308,832.4699,787.3791,831.5407,CI005848.WI
2022/3/16,920.728,942.8269,890.358,939.5204,CI005842.WI
2022/3/16,3350.2534,3520.157,3302.541,3520.157,CI005810.WI
2022/3/16,962.2661,993.5277,949.3009,988.9099,CI005803.WI
2022/3/16,,,,1000,CI005833.WI
2022/3/16,1026.6082,1039.3856,985.1913,1034.0984,CI005832.WI
2022/3/16,1618.6511,1669.3214,1587.4661,1657.3839,CI005166.WI
2022/3/16,1333.1947,1350.437,1278.27,1347.5836,CI005194.WI
2022/3/16,1248.4166,1289.4463,1211.9399,1281.5876,CI005822.WI
2022/3/16,2146.1206,2204.7737,2086.0547,2194.3252,CI005139.WI
2022/3/16,1414.8945,1437.464,1377.6429,1435.3994,CI005812.WI
2022/3/16,754.5749,776.232,729.9579,772.5318,CI005849.WI
2022/3/16,10688.8916,10894.1357,10265.7939,10875.0635,CI005133.WI
2022/3/16,2030.0848,2077.803,1964.874,2074.4744,CI005193.WI
2022/3/16,945.857,977.5746,919.0932,967.1727,CI005841.WI
2022/3/16,1356.3414,1363.1079,1296.475,1360.3066,CI005802.WI
2022/3/16,1613.4712,1625.677,1534.6726,1608.3324,CI005162.WI
2022/3/16,11752.0527,11877.3994,11240.0547,11837.9814,CI005160.WI
2022/3/16,570.9801,573.9972,546.7342,573.6704,CI005816.WI
2022/3/16,11487.0107,11525.7422,10878.6035,11432.6816,CI005152.WI
2022/3/16,1562.1405,1596.7023,1502.6383,1586.1393,CI005111.WI
2022/3/16,893.6781,905.9027,868.882,903.8949,CI005811.WI
2022/3/16,137.3753,139.4736,132.1692,138.8377,CI005101.WI
2022/3/16,1815.4053,1871.7732,1752.3627,1869.4783,CI005834.WI
2022/3/16,915.1591,932.4489,886.5923,932.3887,CI005187.WI
2022/3/17,966.6871,984.8151,963.7603,968.9021,CI005825.WI
2022/3/17,139.2362,141.9405,137.7469,140.913,CI005101.WI
2022/3/17,1625.9546,1662.7845,1624.0878,1628.1985,CI005838.WI
2022/3/17,1421.9221,1424.1971,1392.7987,1395.8062,CI005172.WI
2022/3/17,1193.334,1210.103,1186.9303,1194.4133,CI005836.WI
2022/3/17,1050.4929,1056.2094,1039.9886,1042.5741,CI005815.WI
2022/3/17,10942.5283,11166.1553,10911.8174,10944.7695,CI005133.WI
2022/3/17,1062.765,1079.5944,1061.8535,1065.9231,CI005821.WI
2022/3/17,1004.4174,1021.9723,994.6097,1003.2217,CI005803.WI
2022/3/17,,,,1000,CI005833.WI
2022/3/17,1618.5341,1648.7057,1609.9155,1615.3236,CI005191.WI
2022/3/17,1386.4703,1459.0459,1383.2188,1440.8782,CI005802.WI
2022/3/17,1071.759,1120.2467,1051.1936,1096.3657,CI005830.WI
2022/3/17,9237.5469,9453.9316,9192.0762,9303.9004,CI005124.WI
2022/3/17,936.7913,951.9703,931.8539,944.9319,CI005187.WI
2022/3/17,1297.3466,1325.0803,1291.5928,1292.6447,CI005822.WI
2022/3/17,1026.838,1064.1603,1019.1278,1043.1832,CI005818.WI
2022/3/17,15529.8086,16325.3838,15527.125,15934.4834,CI005154.WI
2022/3/17,3682.8599,3730.5164,3664.9722,3675.4209,CI005117.WI
2022/3/17,3546.4167,3643.2327,3499.7454,3565.5278,CI005140.WI
2022/3/17,7887.4087,8038.3403,7886.7256,7938.9683,CI005138.WI
2022/3/17,1117.5612,1144.3881,1117.3567,1134.1624,CI005198.WI
2022/3/17,9543.4785,10061.0752,9501.2734,9860.3516,CI005153.WI
2022/3/17,1364.3666,1394.2073,1362.3986,1368.9229,CI005194.WI
2022/3/17,5103.5679,5261.1328,4989.8164,5215.6597,CI005144.WI
2022/3/17,3087.3992,3131.9531,3065.9958,3097.8601,CI005134.WI
2022/3/17,978.165,996.4153,970.8628,975.7881,CI005841.WI
2022/3/17,3337.2393,3406.6248,3330.051,3335.2158,CI005122.WI
2022/3/17,792.0891,816.8069,790.2318,803.6604,CI005849.WI
