,close,open,high,low,volume,code
2011-01-11,4804.822,4811.16,4815.497,4747.492,2750608900.0,000905.SH
2011-01-12,4833.58,4813.485,4846.947,4764.469,2691439800.0,000905.SH
2011-01-13,4826.757,4851.682,4859.531,4810.905,2544377300.0,000905.SH
2011-01-14,4723.426,4816.662,4816.662,4719.152,2781177400.0,000905.SH
2011-01-17,4519.913,4690.877,4691.571,4507.571,3067751000.0,000905.SH
2011-01-18,4536.964,4502.064,4550.287,4483.502,1944286600.0,000905.SH
2011-01-19,4646.087,4538.986,4646.088,4530.607,2436093800.0,000905.SH
2011-01-20,4477.359,4637.773,4637.773,4476.561,2865246300.0,000905.SH
2011-01-21,4506.322,4459.988,4549.586,4445.23,2709504200.0,000905.SH
2011-01-24,4398.495,4506.61,4521.13,4397.017,2522068200.0,000905.SH
2011-01-25,4341.909,4390.157,4392.215,4307.907,2133616900.0,000905.SH
2011-01-26,4424.892,4339.862,4426.247,4339.862,1974312400.0,000905.SH
2011-01-27,4502.808,4397.929,4514.428,4369.867,2796481700.0,000905.SH
2011-01-28,4548.206,4497.829,4559.362,4493.837,2581766500.0,000905.SH
2011-01-31,4610.86,4544.334,4611.0,4536.187,2640632200.0,000905.SH
2011-02-01,4630.58,4612.399,4638.606,4604.912,2394669500.0,000905.SH
2011-02-09,4609.717,4597.537,4654.589,4584.899,2754208500.0,000905.SH
2011-02-10,4733.973,4604.844,4734.056,4602.333,3457825000.0,000905.SH
2011-02-11,4786.806,4736.272,4803.099,4729.387,3991598300.0,000905.SH
2011-02-14,4872.495,4792.853,4884.993,4792.853,4781513300.0,000905.SH
2011-02-15,4869.687,4878.681,4932.331,4862.772,5155704100.0,000905.SH
2011-02-16,4952.667,4860.888,4952.946,4855.949,4467136700.0,000905.SH
2011-02-17,4987.48,4962.125,4990.754,4917.952,5044532700.0,000905.SH
2011-02-18,4941.432,4977.22,4984.182,4915.666,4290671900.0,000905.SH
2011-02-21,5042.967,4911.806,5043.248,4905.363,4737022000.0,000905.SH
2011-02-22,4909.745,5052.357,5058.747,4908.246,5738196100.0,000905.SH
2011-02-23,4979.057,4891.245,4983.233,4891.245,4483006400.0,000905.SH
2011-02-24,5027.731,4976.341,5033.104,4963.761,5009068500.0,000905.SH
2011-02-25,5032.797,5019.504,5039.792,4964.35,4445545000.0,000905.SH
2011-02-28,5095.208,5040.223,5095.569,5007.648,5124278700.0,000905.SH
2011-03-01,5122.441,5099.698,5143.77,5082.044,5779841800.0,000905.SH
2011-03-02,5108.74,5099.475,5120.412,5024.864,5314279000.0,000905.SH
2011-03-03,5009.047,5106.39,5124.61,5000.542,5171038900.0,000905.SH
2011-03-04,5067.621,5005.555,5067.917,4989.647,4255960400.0,000905.SH
