,close
2018-06-06,2692.18
2018-06-07,2695.24
2018-06-08,2652.08
2018-06-11,2660.41
2018-06-12,2687.7
2018-06-13,2671.63
2018-06-14,2671.3
2018-06-15,2667.98
2018-06-19,2599.78
2018-06-20,2598.33
2018-06-21,2579.05
2018-06-22,2583.71
2018-06-25,2536.46
2018-06-26,2506.72
2018-06-27,2452.64
2018-06-28,2425.18
2018-06-29,2479.91
2018-07-02,2386.38
2018-07-03,2388.98
2018-07-04,2368.43
2018-07-05,2374.36
2018-07-06,2402.62
2018-07-09,2471.29
2018-07-10,2471.23
2018-07-11,2432.28
2018-07-12,2474.62
2018-07-13,2476.86
2018-07-16,2448.76
2018-07-17,2430.44
2018-07-18,2420.76
2018-07-19,2426.16
2018-07-20,2493.76
2018-07-23,2526.81
2018-07-24,2563.58
2018-07-25,2563.69
2018-07-26,2530.99
2018-07-27,2525.09
2018-07-30,2541.31
2018-07-31,2545.12
2018-08-01,2490.25
2018-08-02,2440.31
2018-08-03,2413.5
2018-08-06,2406.54
2018-08-07,2479.78
2018-08-08,2447.0
2018-08-09,2504.62
2018-08-10,2503.21
2018-08-13,2478.51
2018-08-14,2469.2
2018-08-15,2408.72
2018-08-16,2405.16
2018-08-17,2374.17
2018-08-20,2409.13
2018-08-21,2452.38
2018-08-22,2450.15
2018-08-23,2461.07
2018-08-24,2472.0
2018-08-27,2522.34
2018-08-28,2511.15
2018-08-29,2503.48
2018-08-30,2479.21
2018-08-31,2474.48
2018-09-03,2465.88
2018-09-04,2500.44
2018-09-05,2441.23
2018-09-06,2416.03
2018-09-07,2437.68
2018-09-10,2413.43
2018-09-11,2398.77
2018-09-12,2381.39
2018-09-13,2415.31
2018-09-14,2425.42
2018-09-17,2399.88
2018-09-18,2458.77
2018-09-19,2487.08
2018-09-20,2487.42
2018-09-21,2573.6
2018-09-25,2547.79
2018-09-26,2582.77
2018-09-27,2575.45
2018-09-28,2606.67
2018-10-08,2486.82
2018-10-09,2491.66
2018-10-10,2494.06
2018-10-11,2390.5
2018-10-12,2444.13
2018-10-15,2412.48
2018-10-16,2415.49
2018-10-17,2429.21
2018-10-18,2369.07
2018-10-19,2446.32
2018-10-22,2540.15
2018-10-23,2464.81
2018-10-24,2477.49
2018-10-25,2485.1
2018-10-26,2468.91
2018-10-29,2389.58
2018-10-30,2415.65
2018-10-31,2451.12
2018-11-01,2460.16
2018-11-02,2542.77
2018-11-05,2511.59
2018-11-06,2499.68
2018-11-07,2482.33
2018-11-08,2486.0
2018-11-09,2434.21
2018-11-12,2444.97
2018-11-13,2462.97
2018-11-14,2429.99
2018-11-15,2459.14
2018-11-16,2461.44
2018-11-19,2492.08
2018-11-20,2446.79
2018-11-21,2451.27
2018-11-22,2437.64
2018-11-23,2399.2
2018-11-26,2401.9
2018-11-27,2394.29
2018-11-28,2421.13
2018-11-29,2401.85
2018-11-30,2428.04
2018-12-03,2488.06
2018-12-04,2496.14
2018-12-05,2481.79
2018-12-06,2434.49
2018-12-07,2430.72
2018-12-10,2408.61
2018-12-11,2415.58
2018-12-12,2423.32
2018-12-13,2457.9
2018-12-14,2423.38
2018-12-17,2425.94
2018-12-18,2397.87
2018-12-19,2369.55
2018-12-20,2334.92
2018-12-21,2306.15
2018-12-24,2309.23
2018-12-25,2297.33
2018-12-26,2281.56
2018-12-27,2276.06
2018-12-28,2293.1
2019-01-02,2262.79
2019-01-03,2269.24
2019-01-04,2314.65
2019-01-07,2314.32
2019-01-08,2305.17
2019-01-09,2332.72
2019-01-10,2331.85
2019-01-11,2354.5
2019-01-14,2331.14
2019-01-15,2378.37
2019-01-16,2381.22
2019-01-17,2371.35
2019-01-18,2417.36
2019-01-21,2432.49
2019-01-22,2401.23
2019-01-23,2397.05
2019-01-24,2411.56
2019-01-25,2441.64
2019-01-28,2437.03
2019-01-29,2455.9
2019-01-30,2440.01
2019-01-31,2483.47
2019-02-01,2499.64
2019-02-11,2527.47
2019-02-12,2533.18
2019-02-13,2580.61
2019-02-14,2576.31
