,code,day,direction,rank,abnormal_code,abnormal_name,sales_depart_name,buy_value,sell_value,total_value,net_value,amount
98595,002460.SZ,2013/1/4,BUY,5,106001,涨幅偏离值达7%的证券,中信证券股份有限公司上海淮海中路证券营业部,2506681,46676,2553357,2460005,83172986
98692,000750.SZ,2013/1/4,SELL,5,106004,换手率达20%的证券,中信证券股份有限公司上海溧阳路证券营业部,274919,7552332,7827251,-7277413,1267414357
98662,000898.SZ,2013/1/4,SELL,2,106001,涨幅偏离值达7%的证券,中信证券股份有限公司上海溧阳路证券营业部,4270,10097267,10101537,-10092997,389722923
98375,600537.SH,2013/1/4,SELL,2,106001,涨幅偏离值达7%的证券,中信证券股份有限公司深圳福华一路证券营业部,,7344690.83,,,205246528
98664,000898.SZ,2013/1/4,SELL,1,106001,涨幅偏离值达7%的证券,中信证券股份有限公司深圳福华一路证券营业部,6113966,16039703,22153669,-9925737,389722923
98570,002492.SZ,2013/1/4,SELL,5,106001,涨幅偏离值达7%的证券,中银国际证券有限责任公司北京宣外大街证券营业部,6875,2201209,2208084,-2194334,145970121
98503,300103.SZ,2013/1/4,SELL,2,106004,换手率达20%的证券,中银国际证券有限责任公司沈阳和平南大街证券营业部,0,5629829,5629829,-5629829,255676532
98515,002703.SZ,2013/1/4,SELL,3,106004,换手率达20%的证券,中银国际证券有限责任公司沈阳和平南大街证券营业部,0,823189,823189,-823189,81835212
98419,300348.SZ,2013/1/4,BUY,2,106004,换手率达20%的证券,中银国际证券有限责任公司重庆江北证券营业部,2629503,6433,2635936,2623070,152656246
98581,002484.SZ,2013/1/4,BUY,5,106001,涨幅偏离值达7%的证券,中原证券股份有限公司杭州新华路证券营业部,1477378,2301103,3778481,-823725,100196276
