,trade_date,ts_code,exalter, buy , sell ,net_buy,side,reason
122,20130104,002151.SZ,中国银河证券股份有限公司厦门美湖路证券营业部," 16,881,751.21 "," 14,724,411.00 ",-2157340.21,0,连续三个交易日内，涨幅偏离值累计达20%的证券
123,20130104,002151.SZ,中国银河证券股份有限公司厦门美湖路证券营业部," 16,881,751.21 "," 14,724,411.00 ",-2157340.21,1,连续三个交易日内，涨幅偏离值累计达20%的证券
262,20130104,300262.SZ,中国银河证券股份有限公司厦门美湖路证券营业部," 7,913,689.96 "," 26,770.00 ",-7886919.96,1,换手率达20%的证券
251,20130104,300251.SZ,中国银河证券股份有限公司上海肇嘉浜路证券营业部," 558,267.00 "," 7,048,671.79 ",6490404.79,0,换手率达20%的证券
3,20130104,000043.SZ,中国银河证券股份有限公司绍兴证券营业部," 5,276,763.48 "," 15,543,450.07 ",10266686.59,0,连续三个交易日内，涨幅偏离值累计达20%的证券
93,20130104,001914.SZ,中国银河证券股份有限公司绍兴证券营业部," 5,276,763.48 "," 15,543,450.07 ",10266686.59,0,连续三个交易日内，涨幅偏离值累计达20%的证券
203,20130104,002694.SZ,中国银河证券股份有限公司绍兴证券营业部, -   ," 4,430,065.00 ",4430065,0,换手率达20%的证券
243,20130104,300111.SZ,中国银河证券股份有限公司绍兴证券营业部," 3,520,546.08 "," 6,776,975.58 ",3256429.5,0,涨幅偏离值达7%的证券
244,20130104,300111.SZ,中国银河证券股份有限公司绍兴证券营业部," 3,520,546.08 "," 6,776,975.58 ",3256429.5,1,涨幅偏离值达7%的证券
283,20130104,300295.SZ,中国银河证券股份有限公司深圳宝安路证券营业部," 5,548,622.00 ", -   ,-5548622,1,涨幅偏离值达7%的证券
232,20130104,300103.SZ,中国银河证券股份有限公司武汉花桥证券营业部," 2,919,965.66 "," 15,206.00 ",-2904759.66,1,换手率达20%的证券
303,20130104,300316.SZ,中国银河证券股份有限公司宜昌新世纪证券营业部," 3,198,142.00 "," 108,798.75 ",-3089343.25,1,涨幅偏离值达7%的证券
141,20130104,002239.SZ,中国银河证券股份有限公司义乌稠州北路证券营业部," 2,949,996.00 ", -   ,-2949996,1,连续三个交易日内，涨幅偏离值累计达20%的证券
233,20130104,300103.SZ,中国银河证券股份有限公司重庆民族路证券营业部, -   ," 3,142,603.10 ",3142603.1,0,换手率达20%的证券
70,20130104,000862.SZ,中国中投证券有限责任公司杭州环球中心证券营业部, -   ," 4,517,015.00 ",4517015,0,涨幅偏离值达7%的证券
